0x75CD4687, sabotack
0x2DC19561, __init__sytem__
0x8C87D8EB, __init__
0x4CCAFEB4, dohitmarkerinternal
0x56F1557B, dohitmarker
0xA93D603, dohitmarkerdeath
0x56005EF4, initmain
0xC50D5C2, onplayerconnectmain
0x5119B0F2, onplayerspawnedmain
0xF266D583, hotfixtombee
0x53CAE648, movelightningstaffparts
0xBE9C4149, disabletombtank
0xF16FBE31, dogiveperk
0x826793FC, initbase
0xF8231E6F, setupbase
0x544E1A5E, monitorevents
0x459340B8, notimplementedfunction
0xB1C33D8F, _setdvarifuninitialized
0xAA2DA7AE, _getplayerfromclientnum
0xC39AC32B, _getinbounddata
0x374C3600, _getoutbounddata
0xCB3F0ED7, _setinbounddata
0x361EE624, _setoutbounddata
0x65DD6C8F, initializelogger
0xAE8D5856, _log
0x6CDD9E7A, logdebug
0xA501489D, logerror
0xFDC39D3B, logwarning
0x555E9646, log2dvar
0x80A3DA83, log2ingameprint
0x826EB8EA, registerlogger
0x81B3A516, requestclientmeta
0x4BD7224D, requestclientbasicdata
0x4A069E5A, incrementclientmeta
0x3C8797C2, decrementclientmeta
0x6121AA9, setclientmeta
0x8B4D7DA0, buildeventrequest
0x6F98836D, monitorbus
0xCCDEF4B6, queueevent
0xDEC9141, parsedatastring
0xD515A408, builddatastring
0x68663D6A, notifyclienteventtimeout
0xFE12ABF2, notifyevent
0xD2748172, addclientcommand
0x3901600A, onclientdatareceived
0xFCC6DB2, onexecutecommand
0x332CC712, onsetclientdatacompleted
0x6629CE9A, coerceundefined
0x7147CD28, initshared
0x1D2C0297, setupshared
0x7C2578DF, _isbot
0x603848D5, onplayerconnect
0x13E11B4, playerspawnevents
0x1B5867E1, playertrackingoninterval
0xB7D82228, savetrackingmetrics
0x1F20A576, onbusmoderequestedcallback
0x91E0AD21, oncommandsrequestedcallback
0x4D76069D, sendcommands
0x50AB5F3F, registerscriptcommandobject
0x95C4AF2, registerscriptcommand
0x8634F57A, requesturlobject
0x218B09F3, requesturl
0x478448A8, waitforurlrequestcomplete
